subject_id,mean,std,2.5q,25q,50q,75q,97.5q,mc err,Gelman-Rubin
t_subj(0-Back.Affective).12095,0.26330818124464306,0.024336408897770404,0.2094780561281019,0.24820934655481122,0.2655422422449138,0.2807880300625913,0.30383133745610114,0.0005615958287498601,1.0010684060111998
t_subj(0-Back.Affective).12096,0.27916126661299645,0.036157985009905386,0.20212533524861143,0.25681438781244775,0.2816076893285128,0.3027480344615911,0.34812029959004887,0.00059040796256096,0.9999804652719614
t_subj(0-Back.Affective).12104,0.2234999385822562,0.022502274565625865,0.17711848118629347,0.20963584229739765,0.22415321134128988,0.23720613980508626,0.27150754959716494,0.0004926337718329333,1.000187327438992
t_subj(0-Back.Affective).12106,0.32325874242486524,0.03986944308621092,0.2366703894042953,0.2983738786978156,0.32741865271110066,0.35180681639788947,0.39045857260223926,0.0008032915316689201,1.000055029710097
t_subj(0-Back.Affective).12112,0.29781366477399435,0.031069208940261786,0.23765637398634307,0.27895510574416676,0.29774830852577405,0.3151646744208882,0.3670406278898528,0.0006014081774248538,1.0002715475953798
t_subj(0-Back.Affective).12113,0.46574684074133255,0.02797820636820286,0.4033727446345685,0.44865772783288904,0.46940312217651625,0.4860391875284064,0.510824327653858,0.0008229900315352808,1.00051488330409
t_subj(0-Back.Affective).12114,0.23147315197762772,0.0257521356695012,0.17526831495636266,0.21525282618741087,0.23341647905605703,0.24997263977969467,0.27625518736644117,0.0005812217050244979,1.000370684746599
t_subj(0-Back.Affective).12115,0.26346389052544494,0.03109119994929903,0.19745692096674242,0.2440167691553246,0.26569757718689313,0.2858441993210916,0.3172695609407289,0.0006589528903833492,1.0001738087086038
t_subj(0-Back.Affective).12121,0.23378879702561842,0.02446811435024636,0.18493892204118897,0.21822698889230113,0.23481710751265625,0.24939634186647464,0.2819877612674918,0.0004573020894053009,1.000332569991389
t_subj(0-Back.Affective).12123,0.30627729436946033,0.045272615380413085,0.22591812920382273,0.278661565665689,0.30226368895002254,0.3263615322605325,0.41456329073687853,0.0008454158390327459,1.0003321038505868
t_subj(0-Back.Affective).12130,0.24578525814838176,0.02709466212009763,0.18806101711553888,0.22812167782878798,0.2479329523828518,0.2647406397692356,0.29325603190545824,0.0005655337961131186,1.0000359258070635
t_subj(0-Back.Affective).12131,0.35099821282501914,0.028837993003890686,0.2854114417017419,0.3342796638918433,0.35438465107717554,0.3715017855343339,0.39658511586379913,0.0007456386559686136,1.0000064533925896
t_subj(0-Back.Affective).12132,0.4091923559143456,0.08266002358087923,0.2678873534638272,0.3367534562607708,0.416553612529829,0.48557306264426753,0.5329274988380963,0.0030243411323616796,1.0018266075095623
t_subj(0-Back.Affective).12156,0.3986220987908671,0.03465177654793986,0.3197496262672137,0.3791557303462072,0.40256986179187565,0.4230094658256903,0.455295598178014,0.0007932392065426909,1.0002423152749096
t_subj(0-Back.Affective).12164,0.382749905615039,0.02949173116291855,0.31588047363704747,0.3648088286320633,0.38600209891362763,0.4042012797378135,0.4298427983917191,0.0006877151466226886,0.9999466072556776
t_subj(0-Back.Affective).12171,0.16412959662931864,0.03161254748839285,0.10135401437933395,0.13550100939895723,0.17309763495764394,0.18905822531965571,0.20874897391186478,0.0008563676213824657,1.0003225008398793
t_subj(0-Back.Affective).12172,0.29631522072592986,0.029573952524922488,0.231985488465876,0.27820074359902497,0.2988120595185129,0.317911296263623,0.34590890847596767,0.0006767851397584646,1.0002880761683794
t_subj(0-Back.Affective).12187,0.31027502519741507,0.024574199644904364,0.2558133259573522,0.2951938417524002,0.3126509460586193,0.3279515546895651,0.35119967607521624,0.0006083647760187954,1.0001089535871983
t_subj(0-Back.Affective).12188,0.2817606728514847,0.03390872278360872,0.19910263486401347,0.26371842886271823,0.28321843772469474,0.3013372171894737,0.3480575113857696,0.0007943387849696502,1.000462104395481
t_subj(0-Back.Affective).12196,0.3132309941033573,0.027571430969758472,0.2553442211541922,0.2966574389503852,0.3144880637093003,0.3308141905649595,0.36995613586196546,0.0006233862229475072,1.0000219173377916
t_subj(0-Back.Affective).12203,0.321468623369953,0.031110935533326705,0.2518592449018868,0.3030243649913915,0.3246003303693023,0.3434326586788983,0.37204894403535504,0.0006083146304041954,1.0002081291621194
t_subj(0-Back.Affective).12204,0.4218171805597725,0.07413399092010388,0.27865593856917337,0.35932966337877953,0.434465390003034,0.4856310730577418,0.5326452658298372,0.0016314109266301192,1.0000742060620935
t_subj(0-Back.Affective).12212,0.3970200830238265,0.030885986807304255,0.3255342432920069,0.37973042603387325,0.4011996849753238,0.41824769689849567,0.44584065865971545,0.0005819349865194962,1.0001457736440342
t_subj(0-Back.Affective).12220,0.32704361747407923,0.027143422356460944,0.2655572926460342,0.3113191654531991,0.3308676430009615,0.34651815304148226,0.36973114396169504,0.0005857091161335467,0.9999864044943372
t_subj(0-Back.Affective).12244,0.353312729984072,0.05045631665740041,0.26972071507122114,0.3186236989483185,0.34237759251502664,0.39356832927912117,0.4524113075048526,0.0016792924317271523,1.0005015902206162
